Province,Gender,Occupation,Employment
Yukon,Total,0 Legislative and senior management occupations,460
Yukon,Male,0 Legislative and senior management occupations,220
Yukon,Female,0 Legislative and senior management occupations,240
Northwest Territories,Total,0 Legislative and senior management occupations,435
Northwest Territories,Male,0 Legislative and senior management occupations,245
Northwest Territories,Female,0 Legislative and senior management occupations,185
Nunavut,Total,0 Legislative and senior management occupations,280
Nunavut,Male,0 Legislative and senior management occupations,160
Nunavut,Female,0 Legislative and senior management occupations,115
Canada,Total,"1 Business, finance and administration occupations",3557055
Canada,Male,"1 Business, finance and administration occupations",1135350
Canada,Female,"1 Business, finance and administration occupations",2421705
Newfoundland and Labrador,Total,"1 Business, finance and administration occupations",35440
Newfoundland and Labrador,Male,"1 Business, finance and administration occupations",9400
Newfoundland and Labrador,Female,"1 Business, finance and administration occupations",26045
Prince Edward Island,Total,"1 Business, finance and administration occupations",13330
Prince Edward Island,Male,"1 Business, finance and administration occupations",3800
Prince Edward Island,Female,"1 Business, finance and administration occupations",9525
Nova Scotia,Total,"1 Business, finance and administration occupations",79305
Nova Scotia,Male,"1 Business, finance and administration occupations",23020
Nova Scotia,Female,"1 Business, finance and administration occupations",56290
New Brunswick,Total,"1 Business, finance and administration occupations",63420
New Brunswick,Male,"1 Business, finance and administration occupations",18285
New Brunswick,Female,"1 Business, finance and administration occupations",45135
Quebec,Total,"1 Business, finance and administration occupations",832790
Quebec,Male,"1 Business, finance and administration occupations",273850
Quebec,Female,"1 Business, finance and administration occupations",558940
Ontario,Total,"1 Business, finance and administration occupations",1428300
Ontario,Male,"1 Business, finance and administration occupations",479380
Ontario,Female,"1 Business, finance and administration occupations",948920
Manitoba,Total,"1 Business, finance and administration occupations",115275
Manitoba,Male,"1 Business, finance and administration occupations",35445
Manitoba,Female,"1 Business, finance and administration occupations",79830
Saskatchewan,Total,"1 Business, finance and administration occupations",89410
Saskatchewan,Male,"1 Business, finance and administration occupations",24000
Saskatchewan,Female,"1 Business, finance and administration occupations",65410
Alberta,Total,"1 Business, finance and administration occupations",403300
Alberta,Male,"1 Business, finance and administration occupations",117240
Alberta,Female,"1 Business, finance and administration occupations",286065
British Columbia,Total,"1 Business, finance and administration occupations",484985
British Columbia,Male,"1 Business, finance and administration occupations",148070
British Columbia,Female,"1 Business, finance and administration occupations",336915
